Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL
180.0987091064453,187.31539107877012,179.09474225448028,186.0330813146205,275190100
184.81040954589844,185.93367044971833,180.41679035570985,181.0032655381002,238352300
190.416748046875,190.80441988057507,179.22395433031866,181.07285426820894,259667200
191.27162170410156,195.20799481151357,190.79449062577763,191.15234272645145,255536900
184.7408447265625,191.05293853412107,178.18022776276848,190.86407003601647,325876200
187.72293090820312,189.90979806078744,184.7308851734748,187.0270964420745,252715800
181.4532012939453,187.78331201981942,180.49772147895177,187.53448693654934,268077800
181.6622314453125,184.1703774935557,179.1540702099906,180.93565122587532,192607200
178.815673828125,183.05564807234592,176.54639012704013,181.3835506871587,354310800
169.92762756347656,176.06862901112524,167.69816445905442,175.3221537351814,393109900
171.80874633789062,173.56048472236452,169.48969463541124,172.12724974855078,367031800
171.47035217285156,177.83032113901686,169.26078406375387,174.74489900270237,361530400
170.67410278320312,172.78414988972267,168.65364425194687,169.76839099086914,237622700
168.78302001953125,171.1120189844994,167.43935859285446,170.38545404662338,239021300
175.7202911376953,177.52178245719062,166.3246527991439,168.23562777166774,322249600
164.2245635986328,175.79991194123798,163.3088890664717,174.53587619933919,309039200
168.5043487548828,170.53475474394267,163.99563947900361,164.74211472583232,241302700
182.51817321777344,186.12115543095717,168.31523373544655,172.55520753085744,441926300
182.1897430419922,184.22014919556563,179.5720981044867,181.4930357925836,300675100
189.23399353027344,190.45988438725337,184.00157929114755,184.8188398624675,288966500
189.3436279296875,192.1741264620115,186.00485840480843,188.69581128972396,208619700
191.6060333251953,192.35352110149645,188.46659074780158,190.8685065778142,230454300
196.23048400878906,196.28031956711487,191.87512690776794,192.2538436941542,245994400
211.77822875976562,219.46239409412956,191.5063500005715,196.240438948775,635755100
206.7949981689453,218.2166033028229,206.4162661482939,212.65529221367896,506265500
209.91448974609375,215.34624626528088,205.89799009247443,207.02420984314057,335969500
225.5818328857422,225.69146503075916,211.21013689833188,211.37956563014407,216231300
229.76776123046875,232.29926159426296,222.50218698946944,226.32932062087914,287546800
223.5586395263672,236.43536033582674,221.52547948600096,235.6878725668031,278397600
217.2299041748047,227.01700212700396,213.901080644156,226.24957714458293,242932200
219.12355041503906,224.84432899946665,215.027316796154,216.23327043225223,296061500
215.51568603515625,216.05387055494424,195.34347664556446,198.4231227040625,342088200
225.29281616210938,226.07020222368163,214.87782297665973,215.3462498608991,214898200
226.3418426513672,227.8385485650427,222.55018462499993,225.22430710791238,188124900
228.49710083007812,232.40849042336728,223.3983221195748,226.26201453736442,209486100
220.33506774902344,228.49709646301807,217.00239110276092,228.0480877464654,179069200
222.01136779785156,223.54797910505988,216.2340899147292,220.33506455362428,237622900
227.6988525390625,232.57811312113958,213.4502137143977,216.06445512465,550232800
227.2897491455078,229.01596089620384,223.52803931428423,226.8407404247703,210673500
226.30194091796875,232.48832241793943,222.5302431714426,229.53481600054536,221996800
227.05029296875,229.24545862434056,220.84395115162684,224.00698786143397,164894900
234.4839324951172,236.96846985669828,228.0979931896176,228.19776445125586,218141000
230.9018096923828,236.3298654746461,227.25981623484415,233.93512692202899,197299900
222.4204864501953,234.21452145014717,219.78628458026085,232.8076294246506,248222000
226.4615936279297,228.15785731612607,219.22751491258845,220.50470276430903,208083400
224.7528839111328,228.61862863695455,221.25672793918184,224.7528839111328,223817700
229.61753845214844,230.46661102927646,224.92270331527985,225.0026172836474,196344000
237.06935119628906,237.5488197625333,229.48769066654776,231.2058028744564,198118800
242.5732879638672,244.3613305629988,236.89953355869156,237.00941335663836,208286500
247.85748291015625,250.5245486116302,241.48448520697542,241.5643991717649,192702600
254.21051025390625,254.71994465608725,245.42017186050566,247.7176489195354,368202900
255.30929565429688,259.8143523198696,252.78207543596488,254.49020414184895,133685900
250.1449737548828,253.22159296591875,249.15605553782555,251.95298347895195,75038200
