actual,predicted
127.95256805419922,124.87792879779927
128.26844787597656,124.84576049911193
123.47061157226562,124.93589435337813
124.7441177368164,124.81995363244404
123.42125701904297,124.61279175223225
127.96244049072266,124.64911050030742
128.48565673828125,124.65464069445535
129.05824279785156,124.66451266410505
131.78294372558594,124.65641063539799
131.70399475097656,124.6452666257985
133.0366973876953,124.6477726503219
134.20162963867188,124.64848830123015
133.48094177246094,124.64925092053437
133.5401611328125,124.64867305551371
136.10694885253906,124.64806241964772
139.3054656982422,124.64822451630523
140.7073211669922,124.64828871160611
140.0458984375,124.64834033223333
142.11903381347656,124.64829944835351
144.0638885498047,124.64826547276877
141.1713409423828,124.64827567690982
142.44482421875,124.6482807647266
143.5702362060547,124.64828401254789
148.89132690429688,124.64828116786943
152.52427673339844,124.64827925283136
149.7896728515625,124.64827989033978
152.67233276367188,124.64828026940357
149.9772491455078,124.64828046368991
148.94068908691406,124.64828026914121
149.3065185546875,124.64828015999304
152.11447143554688,124.64828019997184
151.4718017578125,124.64828022716702
153.5777587890625,124.64828023831446
151.97605895996094,124.64828022520881
150.82913208007812,124.64828021892843
146.80506896972656,124.6482802214612
147.23020935058594,124.64828022336164
147.7146759033203,124.64828022397573
145.0550537109375,124.64828022310377
146.2513885498047,124.64828022273953
145.7471160888672,124.6482802229021
143.67080688476562,124.64828022303227
144.26405334472656,124.64828022306457
149.32626342773438,124.64828022300713
152.09469604492188,124.64828022298587
149.88987731933594,124.64828022299645
151.14553833007812,124.64828022300522
148.89126586914062,124.64828022300681
146.8248291015625,124.64828022300306
148.77261352539062,124.6482802230018
150.8686981201172,124.6482802230025
151.26419067382812,124.64828022300308
154.0919189453125,124.64828022300316
153.25152587890625,124.64828022300291
155.6244354248047,124.64828022300284
157.48324584960938,124.64828022300289
156.0496063232422,124.64828022300293
157.13717651367188,124.64828022300293
158.4423065185547,124.64828022300291
156.4945068359375,124.64828022300291
155.87161254882812,124.64828022300291
158.95643615722656,124.64828022300291
160.52847290039062,124.64828022300291
163.03982543945312,124.64828022300291
164.29551696777344,124.64828022300291
163.76161193847656,124.64828022300291
161.91268920898438,124.64828022300291
162.80255126953125,124.64828022300291
160.20220947265625,124.64828022300291
158.98606872558594,124.64828022300291
158.29400634765625,124.64828022300291
163.69239807128906,124.64828022300291
163.34634399414062,124.64828022300291
163.36610412597656,124.64828022300291
164.59214782714844,124.64828022300291
165.73904418945312,124.64828022300291
164.77008056640625,124.64828022300291
163.15847778320312,124.64828022300291
163.4649658203125,124.64828022300291
161.92257690429688,124.64828022300291
161.91268920898438,124.64828022300291
166.51023864746094,124.64828022300291
167.76588439941406,124.64828022300291
167.67694091796875,124.64828022300291
166.6387481689453,124.64828022300291
165.5610809326172,124.64828022300291
163.91976928710938,124.64828022300291
171.61203002929688,124.64828022300291
171.54278564453125,124.64828022300291
169.8323211669922,124.64828022300291
171.60214233398438,124.64828022300291
171.79002380371094,124.64828022300291
170.8593292236328,124.64828022300291
170.36427307128906,124.64828022300291
170.36427307128906,124.64828022300291
170.97811889648438,124.64828022300291
173.31472778320312,124.64828022300291
173.42364501953125,124.64828022300291
172.47314453125,124.64828022300291
169.8593292236328,124.64828022300291
170.1365203857422,124.64828022300291
171.27516174316406,124.64828022300291
173.69094848632812,124.64828022300291
175.54241943359375,124.64828022300291
175.49293518066406,124.64828022300291
178.3047637939453,124.64828022300291
179.15621948242188,124.64828022300291
177.7998046875,124.64828022300291
177.43350219726562,124.64828022300291
176.05726623535156,124.64828022300291
178.77999877929688,124.64828022300291
179.16615295410156,124.64828022300291
181.96807861328125,124.64828022300291
181.4928436279297,124.64828022300291
182.1265106201172,124.64828022300291
184.16607666015625,124.64828022300291
183.0868682861328,124.64828022300291
183.17599487304688,124.64828022300291
182.1363983154297,124.64828022300291
185.14625549316406,124.64828022300291
184.8294219970703,124.64828022300291
183.43341064453125,124.64828022300291
186.19573974609375,124.64828022300291
187.3739776611328,124.64828022300291
187.7105712890625,124.64828022300291
192.0471649169922,124.64828022300291
190.55213928222656,124.64828022300291
189.433349609375,124.64828022300291
189.9085693359375,124.64828022300291
188.78976440429688,124.64828022300291
186.7403106689453,124.64828022300291
186.21556091308594,124.64828022300291
187.8887939453125,124.64828022300291
188.65115356445312,124.64828022300291
188.79971313476562,124.64828022300291
192.06700134277344,124.64828022300291
191.80953979492188,124.64828022300291
193.16598510742188,124.64828022300291
191.21548461914062,124.64828022300291
190.03729248046875,124.64828022300291
190.83926391601562,124.64828022300291
191.70062255859375,124.64828022300291
192.5718994140625,124.64828022300291
191.3046417236328,124.64828022300291
193.8887481689453,124.64828022300291
194.50259399414062,124.64828022300291
193.67091369628906,124.64828022300291
190.67095947265625,124.64828022300291
189.27491760253906,124.64828022300291
180.18594360351562,124.64828022300291
177.0770721435547,124.64828022300291
178.0176544189453,124.64828022300291
176.42359924316406,124.64828022300291
176.20578002929688,124.64828022300291
176.2652587890625,124.64828022300291
177.9209442138672,124.64828022300291
175.92816162109375,124.64828022300291
175.05575561523438,124.64828022300291
172.5077667236328,124.64828022300291
172.9935760498047,124.64828022300291
174.3319854736328,124.64828022300291
175.71005249023438,124.64828022300291
179.5666961669922,124.64828022300291
174.8673553466797,124.64828022300291
177.0782470703125,124.64828022300291
178.64471435546875,124.64828022300291
182.54098510742188,124.64828022300291
186.0406951904297,124.64828022300291
186.25880432128906,124.64828022300291
187.835205078125,124.64828022300291
188.0731201171875,124.64828022300291
181.34133911132812,124.64828022300291
176.03724670410156,124.64828022300291
176.65191650390625,124.64828022300291
